date,pos_mean_likes,pos_mean_replies,pos_mean_retweet,neu_mean_likes,neu_mean_replies,neu_mean_retweet,neg_mean_likes,neg_mean_replies,neg_mean_retweet
20170101,4.207272333406612,3.8284123083333337,3.232838325666243,8.028677004308829,8.366872316666667,9.094131058058375,0.26405122815511783,0.30471606522916667,0.17303106387531728
20170102,6.322558068352241,6.2603107040816335,5.908046737362637,6.780714547587002,7.166919965986395,7.121932059340659,1.1824418611497791,0.858483607755102,1.2557354013479856
20170103,1.233668513183633,1.4690255160204082,1.4360879982870158,4.423724177638473,4.048554399489796,4.352945960683371,4.342606863517341,4.482419921632653,4.210965604203644
20170104,0.8217905069460697,0.38230014267857143,0.9212178624332942,4.941647588733824,2.8707120705357143,4.963726266250371,0.48656183574253165,2.996988111291072,0.3650558005330937
20170105,2.2206723009898526,2.5166905317214696,2.811572025317693,6.303774908904535,5.975590556092843,5.727157294721407,0.5664618640605714,0.5986280513733075,0.5521798416561933
20170106,2.263765024365026,2.1653738711494257,2.700563449083863,3.7467573703753647,4.294001668965517,3.7492590767441865,0.6561440086644189,0.207290702770115,0.21684381902184638
20170107,0.5849266330852351,0.5521841793138762,0.5981062429900571,2.4315406768190315,2.477602780849974,2.4348374464154263,0.2093392062071805,0.19601955261904766,0.19286283882870503
20170108,4.102321947406341,2.97353953196347,3.970255609268444,4.156663607408741,5.27735068607306,4.30086722633292,0.07434762487722142,0.0824430069520548,0.06221035143004753
20170109,2.7837621378179764,1.7338149678571428,4.389616862156784,6.720076370911733,3.673626527472528,5.217909432152804,4.781876691407575,8.878272903983516,4.678188899621966
20170110,3.540876703948425,2.9809734037101583,3.0528791003786773,2.5710072823116126,2.9977799566733068,3.021332346999709,0.13811659433323042,0.27124717301543827,0.17578897241625405
20170111,2.688409752400549,2.5200848514492757,2.8447370977596744,5.373914197530865,5.619565929710145,5.162003883316362,0.27100957395773984,0.1936826693478261,0.32659258704175154
20170112,3.733474620601621,4.148450590909091,3.4069683957519117,5.166723885064936,4.770144743692023,5.551680139405268,0.19071040597236102,0.17231362215213356,0.13226041522514867
20170113,3.328424338630904,3.3730771064314173,3.2730703966777415,3.7627967082868805,3.7187549445076837,3.8181148411832355,0.05163618643265306,0.05102517233921457,0.05167198823313315
20170114,6.267531844431577,5.798807787634408,3.531833595120343,4.044156624879366,3.4119009099462363,3.9119201233102534,6.354977734508783,7.455957411236558,9.222912342944282
20170115,2.118684027991365,2.939365792071078,1.6308286564056942,5.749531410567434,4.9721130575980395,6.477375239323844,0.4651181189165295,0.42185525824754905,0.22512939432680898
20170116,2.2776747954730987,3.061164865882353,2.8440406625000003,11.918981553988868,14.455333458823526,14.6160360609375,5.803343674174397,2.4835039329411766,2.5399237608593745
20170117,9.64212853778396,8.771922142857141,9.86396511778683,6.897518226703755,7.731510563492062,6.674545522063814,0.127019648175707,0.16323389126984128,0.12815583433129668
20170118,3.0671667488901466,2.731504782304527,3.5333283831103435,6.252933759466767,6.266289468724279,7.242861509710831,1.7910100700797333,2.113316684510288,0.3349206910972042
20170119,0.895434476787736,0.8103865639452331,1.1909999291862892,2.4596329289663985,2.5068733209939147,2.486595124499277,2.527285635047361,2.5650931583823535,2.204758047013729
20170120,2.934624222861618,2.5077539419954653,2.368992184589717,3.132123790252441,3.613843604535148,3.655585752230167,0.5999186713287267,0.5450691382675736,0.6420887738787878
20170121,2.732349436528713,2.374799346584015,2.529923039891748,2.860327546375608,2.916458518860458,2.9771309146421125,0.28967605590959417,0.5910951008968609,0.37529901491647744
